Year	Title
2009	Zero-Shot Learning with Semantic Output Codes
2009	Learning generative texture models with extended Fields-of-Experts
2009	Products of Hidden Markov Models: It Takes N>1 to Tango
2009	Factored Conditional Restricted Boltzmann Machines for Modeling Motion Style
2009	Using Fast Weights to Improve Persistent Contrastive Divergence
2009	Modeling pigeon behaviour using a Conditional Restricted Boltzmann Machine
2009	Deep Boltzmann Machines
2009	A Scalable Hierarchical Distributed Language Model
2009	Implicit Mixtures of Restricted Boltzmann Machines
2009	Using matrices to model symbolic relationships
2009	The Recurrent Temporal Restricted Boltzmann Machine
2009	Generative versus Discriminative Training of RBM's for classification of fMRI images
2008	Visualizing Data using t-SNE
2008	Generating Facial Expressions with Deep Belief Nets
2008	Analysis-by-Synthesis by Learning to Invert Generative Black Boxes
2008	Improving a statistical language model by modulating the effects of context words
2008	Deep Narrow Sigmoid Belief Networks are Universal Approximators
2008	Modeling image patches with a directed hierarchy of Markov random fields
2008	Using Deep Belief Nets to Learn Covariance Kernels for Gaussian Processes
2007	Learning multiple layers of representation
2007	To recognize shapes, first learn to generate images
2007	Boltzmann machine
2007	Restricted Boltzmann Machines for Collaborative Filtering
2007	Three New Graphical Models for Statistical Language Modelling
2007	Semantic Hashing
2007	Unsupervised learning of image transformations
2007	Learning a non-linear embedding by preserving class neighbourhood structure
2007	Learning Multilevel Distributed Representations for High-dimensional Sequences
2007	Visualizing similarity data with a mixture of maps
2007	Modeling human motion using binary latent variables
2006	Reducing the dimensionality of data with neural networks
2006	Unsupervised Discovery of Non-linear Structure using Contrastive Backpropagation
2006	A fast learning algorithm for deep belief nets
2006	Inferring motor programs from images of handwritten digits
2006	Topographic Product Models Applied To Natural Scene Statistics
2005	Learning Causally Linked Markov Random Fields
2005	What kind of a graphical model is the brain?
2005	Learning Unreliable Constraints using Contrastive Divergence
2005	Improving dimensionality reduction with spectral gradient descent
2005	On Contrastive Divergence Learning
2005	Neighborhood Components Analysis Advances in Neural Information Processing Systems
2005	Multiple Relational Embedding
2005	Exponential Family Harmoniums with an Application to Information Retrieval
2004	Reinforcement Learning with Factored States and Actions
2004	Distinguishing Text from Graphics in On-line Handwritten Ink
2004	Wormholes Improve Contrastive Divergence
2004	Probabilistic sequential independent components analysis
2003	Energy-Based Models for Sparse Overcomplete Representations
2003	Stochastic Neighbor Embedding
2003	Efficient parametric projection pursuit density estimation. In: UAI-2003: 19th Conference on Uncertainty in Artificial Intelligence. [ps.gz]
2003	Self-Supervised Boosting
2003	Learning Sparse Topographic Representations with Products of Student-t Distributions
2003	The ups and downs of Hebb synapses
2002	Training Products of Experts by Minimizing Contrastive Divergence
2002	Classical and Bayesian Inference in Neuroimaging: Theory
2002	Relative Density Nets: A New Way to Combine Backpropagation with HMM's
2002	Learning Hierarchical Structures with Linear Relational Embedding
2002	Global Coordination of Local Linear Models
2002	A Desktop Input Device and Interface for Interactive 3D Character Animation
2002	Local Physical Models for Interactive Character Animation
2002	Welling, M. and Hinton, G. E. A New Learning Algorithm for Mean Field Boltzmann Machines. ICANN, Madrid. In Dorronsoro J.R. (ed) Lecture notes in Computer Science Vol 2415, pp 351-357, Springer. [pdf]
2002	Recognizing Handwritten Digits using Hierarchical Products
2001	A New View of ICA
2001	Discovering Multiple Constraints that are Frequently Approximately Satisfied
2001	Training Many Small Hidden Markov Models
2001	Products of Hidden Markov Models
2001	Rate-coded Restricted Boltzmann Machines for Face Recognition
2001	Using Free Energies to Represent Q-values in a Multiagent Reinforcement learning Task
2001	Recognizing Hand-Written Digits Using Hierarchical Products of Experts
2000	Training Products of Experts by Minimizing Contrastive Divergence
2000	Extracting Distributed Representations of Concepts and Relations from Positive and Negative Propositions
2000	Modelling High-Dimensional Data by Combining Simple Experts
2000	Learning Distributed Representations of Concepts from Relational Data Using Linear Relational Embedding
2000	Spiking Boltzmann machines
2000	Learning to parse images
2000	Variational learning for switching state-space models
2000	SMEM algorithm for mixture models
2000	Learning Distributed Representations by Mapping Concepts and Relations into a Linear Space
1999	Supervised learning in multilayer neural networks
1999	Training products of experts by maximizing contrastive likelihood
1999	Products of experts
1999	Scaling in a hierarchical unsupervised network
1999	Unsupervised Learning
1999	Variational learning in nonlinear gaussian belief networks
1998	A view of the EM algorithm that justifies incremental, sparse, and other variants
1998	Cascaded redundancy reduction
1998	Coaching variables for regression and classification
1998	A comparison of statistical learning methods on the GUSTO database
1998	Hierarchical nonlinear factor analysis and topographic maps
1998	NeuroAnimator: Fast Neural Network Emulation and Control of Physics-Based Models
1998	Glove-TalkII: A neural network interface which maps gestures to parallel formant speech  synthesizer controls
1997	A hierarchical community of experts
1997	Instantiating deformable models with a neural net
1997	Modeling the manifolds of images of handwritten digits
1997	Using mixtures of factor analyzers for segmentation and pose estimation
1997	Generative models for discovering sparse distributed representations
1997	Minimizing description length in an unsupervised neural network
1997	Using EM for reinforcement learning
1997	A mobile robot that learns its place
1997	Efficient stochastic source coding and an application to a bayesian network source model
1997	GTM through time
1996	Does the wake-sleep algorithm learn good density estimators?
1996	A simple algorithm that discovers efficient perceptual codes
1996	Varieties of Helmholtz machines
1996	Using pairs of data-points to define splits for decision trees
1996	The EM algorithm for mixtures of factor analyzers
1996	Parameter estimation for linear dynamical systems
1996	Free energy coding
1996	Using Generative Models for Handwritten Digit Recognition
1995	Recognizing handwritten digits using mixtures of linear models
1995	Using a neural net to instantiate a deformable model
1995	An alternative model for mixtures of experts
1995	GloveTalkII: Mapping hand gestures to speech using neural networks
1995	Learning population codes by minimizing description length
1995	The wake-sleep algorithm for unsupervised Neural Networks
1995	The Helmholtz machine
1995	The Helmholtz machine through time
1995	Using neural networks to monitor for rare failures
1994	Autoencoders, minimum description length, and Helmholtz free energy
1994	Developing population codes by minimizing description length
1994	A modified gating network for the mixtures of experts architectures
1993	Hand-printed digit recognition using deformable models
1993	Using mixtures of deformable models to capture variations in the shapes of hand-printed digits
1993	Keeping neural networks simple by minimizing the description length of the weights
1993	Simulating brain damage
1993	Learning mixture models of spatial coherence
1993	A soft decision-directed LMS algorithm for blind equalization
1993	Feudal reinforcement learning
1992	Glove-Talk: A neural network interface between a data-glove and a speech synthesizer
1992	Combining two methods of recognizing hand-printed digits
1992	Adaptive elastic models for character recognition
1992	Simplifying neural networks by soft weight sharing
1992	A self-organizing neural network that discovers surfaces in random-dot stereograms
1992	How neural networks learn from experience
1991	Adaptive mixtures of local experts
1991	Evaluation of adaptive mixtures of competing experts
1991	Discovering viewpoint-invariant relationships that characterize objects
1991	Lesioning an attractor network: Investigations of acquired dyslexia
1990	Mean field networks that learn to discriminate temporally distorted strings
1990	Traffic Recognizing objects using hierarchical reference frame transformations
1990	Discovering higher-order features with mean field networks
1990	Dimensionality reduction and prior knowledge in E-set recognition
1990	Deterministic Boltzmann learning in networks with asymmetric connectivity
1990	Preface to the special issue on connectionist symbol processing
1990	A time-delay neural network architecture for isolated word recognition
1990	Mapping part-whole hierarchies into connectionist networks
1990	An unsupervised learning procedure that discovers surfaces in random-dot stereograms
1990	The bootstrap Widrow-Hoff rule as a cluster-formation algorithm
1989	Deterministic Boltzmann learning performs steepest descent in weight-space
1989	Phoneme recognition using time-delay neural networks
1989	GEMINI: Gradient Estimation by Matrix Inversion after Noise Injection
1989	Connectionist learning procedures
1988	A distributed connectionist production system
1988	Scene-based and viewer-centered representations for comparing shapes
1988	Learning representations by recirculation
1988	Representing part-whole hierarchies in connectionist networks
1987	Connectionist architectures for Artificial Intelligence
1987	Learning translation invariant recognition in a massively parallel network
1987	The horizontal-vertical delusion
1987	Using fast weights to deblur old memories
1987	How learning can guide evolution
1987	Learning sets of filters using back-propagation
1987	Separating figure from ground using a Boltzmann machine
1986	Learning representations by back-propagating errors
1986	Separating figure from ground with a parallel network
1986	Learning symmetry groups with hidden units: Beyond the perception
1986	Learning distributed representations of concepts
1986	Experiments on learning by back-propagation
1986	The appeal of for Parallel Distributed Processing
1986	A general framework for Parallel Distributed Processing
1986	Distributed representations
1986	Learning and relearning in Boltzmann machines
1986	Learning internal representations by error propagation
1986	Parallel distributed models of schemata and sequential thought processes
1986	G-maximization: An unsupervised learning procedure for discovering regularities
1985	A learning algorithm for Boltzmann machines
1985	Symbols among the neurons: Details of a connectionist inference architecture
1985	Shape recognition and illusory conjunctions
1985	Learning in parallel networks
1985	Solving random-dot stereograms using the heat equation
1984	Parallel computations for controlling an arm
1984	Boltzmann Machines: Constraint satisfaction networks that learn
1984	Why the islands move
1984	Evaluating the interface of a document processor: A comparison of expert judgement and  user observation
1984	Some computational solutions to Bernstein's problems
1983	Parallel visual computation
1983	Optimal perceptual inference
1983	Massively parallel architectures for A.I.: Netl, Thistle, and Boltzmann machines
1983	Analyzing cooperative computation
1981	The role of spatial working memory in shape perception
1981	Parallel models of associative memory
1981	Models of information processing in the brain
1981	Implementing semantic networks in parallel hardware
1981	A parallel computation that assigns canonical object-based frames of reference
1981	Frames of reference and mental imagery
1981	Shape representation in parallel systems
1979	Some demonstrations of the effects of structural descriptions in mental imagery
1979	Imagery without Arrays
1978	"Representation and control in vision"""
1978	Respectively reconsidered
1978	Relaxation and its role in vision
1976	Using relaxation to find a puppet
